ID,Sentence
1,This is first sentence
2,??? ???? ?????
3,This is third sentence
4,This is fourth sentence
5,This is fifth sentence
6,This is sixth sentence
7,This is seventh sentence
8,This is eigth sentence
9,This is ninth sentence
10,This is tenth sentence
11,This is eleventh sentence
12,This is twelfth sentence
13,This is thirteenth sentence
14,This is fourteenth sentence
15,This is fifteenth sentence
16,This is sixteenth sentence
17,This is seventeenth sentence
18,This is eighteenth sentence
19,This is ninteenth sentence
20,This is twentieth sentence
