ID,Sentence
1,ଏକ ମଇଁଷି କାଦୁଅରେ ଖେଳୁଛି |
2,ଏକ ଷଣ୍ଢ ଶଗଡ଼ ଗାଡିକୁ ଧକ୍କା ଦେଲା |
3,ଥଣ୍ଡା ପବନ ପ୍ରବାହିତ ହେଉଥିଲା
4,ଏକ ମୃତ ପଶୁ ନଦୀରେ ଭାସୁଛି
5,ଝଡଏକ ଧୂଳିଝଡ ଆସୁଛି
6,ଜଙ୍ଗଲରେ ନିଆଁ ଲାଗିଯାଇଥିଲା
7,ଗତକାଲି ରାତିରେ ଜଣେ ଝିଅର ହତ୍ୟାଘଟିଥିଲା
8,ସେଠାରେ ଏକ ଲମ୍ବା ବାଉଁଶ ବାଡି ପଡ଼ିଥିଲା |
9,ଏହି ଦୁର୍ଘଟଣାରେ ବହୁ ରକ୍ତ ନଷ୍ଟ ହୋଇଯାଇଛି
10,ବହୁ ଖାଦ୍ୟ ନଷ୍ଟ ହେଲା |
11,ଜଣେ ବ୍ୟକ୍ତି ଅଗ୍ନି କାଠ ସଂଗ୍ରହ କରୁଥିଲେ
12,ଏକ କଇଁଛ ବହୁ ବର୍ଷ ବଞ୍ଚେ |
13,ଏକ ଟ୍ରେନ୍ ଶଗଡ଼ ଗାଡିକୁ ଧକ୍କା ଦେଇଛି
14,ସହରରୁ ଫେରିବା ପରେ ମୁଁ ଶୋଇବାକୁ ଗଲି |
15,ଅଜିତ ଜଙ୍ଗଲରେ ବୁଲିବାକୁ ପସନ୍ଦ କରନ୍ତି
16,ଅଜିତଙ୍କୁ ଏକ ବୋମା ଦ୍ୱାରା ହତ୍ୟା କରାଯାଇଥିଲା
17,ସମସ୍ତ ପକ୍ଷୀ ସେମାନଙ୍କର ନିଜର ସନ୍ତାନମାନଙ୍କୁ ଖାଇବାକୁ ଦିଅନ୍ତି |
18,ସବୁ ଫସଲ ଧୂଳିଝଡରେ ନଷ୍ଟ ହୋଇଯାଇଥିଲା
19,ସବୁ ପିଲାମାନେ ମିଠା ଚାହାଁନ୍ତି |
20,ବର୍ଷାରେ ମୋର ସମସ୍ତ ପୋଷାକ ଓଦା ହୋଇଗଲା |
21,ମୋର ସମସ୍ତ ଜିନିଷ ଅଗ୍ନିରେ ଜଳିଗଲା
22,ସମସ୍ତ ଗୁରୁତ୍ୱପୂର୍ଣ୍ଣ କାଗଜପତ୍ର ନିଆଁରେ ଜଳିଗଲା
23,ପ୍ରାୟ ସମସ୍ତ ପତ୍ର ଝଡ଼ିଯାଇଛି
