ID,Sentence
1,ಭೆಸಿ ಕಿಂಚೆಮಾಯಿ ರಮ್ಮತಿ ರಮ್ಮರಿಚ
2,ಬಳದ ಆನ ಗಾಡಿನ ಡಿಕ್ಕಿ ಮಾರದಿನೊಚ
3,ಶಿಳಖಳ ವಾಳ ಚುಟರಿಚ
4,ಮರಮೆಲಿ ಜಕೊಣ ಪ್ರಾಣಿ ನಂದಿಮಾಯಿ ತೆರರಿಚ
5,ಅಂಗೊಳೊ ಆರೊಚ
6,ಜಂಗಲೆಮಾಯಿ ಅಂಗಾರ ಲಗರೊಚ
7,ಕಾಲೆನ ರಾತ ಎಕ ಚೊರಿನ ಮಾರನಾಕೆಚ
8,ಎಕ ಲಾಂಬ ಬಂಬುರ ಲಕಡಿ ಪಡಿಚ
9,ಎಕ್ಸಿಡಂಟೆಮಾಯಿ ಗಣೊ ಲೊಯಿ ಡರಗೊಚ
10,ಗಣೊ ಖಾಣೊ ಹಾಳ ವೆಗಿಚ
11,ಎಕ ಮಾಣಸ ಅಂಗಾರ ಲಗಾಡೆನ ಲಕಡಿ ಗೊಳಾ ಕರರೊತೊ
12,ಕಾಚಮೊ ಗಣ ದಾಡೆತಕಾ ಬದಕಚ
13,"ರೈಲ, ಗಾಡಿನ ಡಿಕ್ಕಿ ಮಾರದಿನಿಚ"
14,ಗಾಮೆತಿ ಆನ ಮ ಸೊಗೊ
15,ಅಜಿತ ಜಂಗಲೆಮಾಯಿ ಹಿಂಡೆನ ಇಷ್ಟಾ ಪಡಚ
16,ಅಜಿತ ಬಾಂಬ ಪಡಿಜೆತಿ ಮರೊ
17,ಸೆ ಪಕ್ಷಿಯೊ ಅಂದುರ ಸಂತತಿನ ವೊಜ ಖಾಣೊ ಕರಾವಚ
18,ಅಂಗೊಳೆಮಾಯಿ ಸೆಜ ಬೆಳಿ ನಾಸ ವೆಗಿಚ
19,ಸೆ ನಾನಕ್ಯಾ ಬೆಟಬೆಟಾಂವೊ ಮಿಟೊನ ಇಷ್ಟಾ ಪಡಚ
20,ಮಾರ ಸೆ ಸೆಮಾನ ಪಾಣಿಮಾಯಿ ಬಿಜಾಗೆಚ
21,ಮಾರ ಸೆ ಸೆಮಾನ ಅಂಗಾರೆಮಾಯಿ ಬಳಗೆ
22,ಸೆ ಗಣ ಚಾವಜಕೊಣ ಕಾಗದ ಪತ್ರಾ ಅಂಗಾರೆಮ ಬಳಗೆ
23,ಸೆ ಪಾನ ಜಡಗೆಚ
24,ಪ್ರಾಣಿಯೊ ಅಪಾಯೆನ ಸಮಜ ಸಕಚ
25,ಜಿವಜನಗಾನಿಯೊ ಅಂದುರಜ ಬಾಷೆಮಾಯಿ ವಾತೆ ಕರಚ
26,ಜಿವಜನಗಾನಿಯೊ ಅಂಗಾರಿತಿ ಚಮಕಚ
