ID,Sentence
1,खरगोश के लंबे कान और छोटी पूंछ होती है।
2,सभी बिल्लियाँ अंधेरे में धूसर होती हैं।
3,आपको बस इतना करना है कि उसकी सलाह का पालन करें।
4,आपको बस इतना करना है कि उसके जवाब की प्रतीक्षा करें।
5,आप बस इतना कर सकते हैं कि एक दूसरे पर भरोसा करें।
6,आपको बस इतना करना है कि देर से आने के लिए माफी मांगनी है।
7,आपको बस इतना करना है कि उसकी सलाह का पालन करें।
8,आपको बस इतना करना है कि अपना ख्याल रखना है।
9,आपको बस इतना करना है कि मेरे लौटने का इंतजार करना है।
10,आपको बस इतना करना है कि अपनी तरफ से पूरी कोशिश करें।
11,आपको बस इतना करना है कि बर्तन धो लें।
12,और हम क्या करने जा रहे हैं?
13,कोई मौका आपको पता है कि मैंने अपनी चाबियाँ कहाँ रखी हैं?
14,क्या आपको इस तरह बात करने में शर्म नहीं आती?
15,क्या वे सभी एक जैसे हैं?
16,क्या आप मेरी बात से नाराज़ हैं?
17,क्या आप जानते हैं कि वह आपसे कितना प्यार करती है?
18,क्या आप राजनीति से सरोकार रखते हैं?
19,क्या आपको तैरने का शौक है?
20,क्या तुम मुझे बेवकूफ बना रहे हो?
